,Rank,Club,Country,Level,Elo,From,To
0,None,Hannover,FRG,1,1357.1763916,1951-07-01,1951-08-19
1,None,Hannover,FRG,1,1355.35314941,1951-08-20,1951-08-26
2,None,Hannover,FRG,1,1369.37512207,1951-08-27,1951-09-02
3,None,Hannover,FRG,1,1366.20837402,1951-09-03,1951-09-09
4,None,Hannover,FRG,1,1348.13500977,1951-09-10,1951-09-16
5,None,Hannover,FRG,1,1341.1697998,1951-09-17,1951-09-24
6,None,Hannover,FRG,1,1360.1697998,1951-09-25,1951-09-30
7,None,Hannover,FRG,1,1350.70263672,1951-10-01,1951-10-07
8,None,Hannover,FRG,1,1353.80493164,1951-10-08,1951-10-14
9,None,Hannover,FRG,1,1343.61303711,1951-10-15,1951-10-18
10,None,Hannover,FRG,1,1328.61303711,1951-10-19,1951-10-21
11,None,Hannover,FRG,1,1343.28161621,1951-10-22,1951-10-28
12,None,Hannover,FRG,1,1338.92102051,1951-10-29,1951-11-04
13,None,Hannover,FRG,1,1344.68359375,1951-11-05,1951-11-18
14,None,Hannover,FRG,1,1350.24621582,1951-11-19,1951-11-23
15,None,Hannover,FRG,1,1359.24621582,1951-11-24,1951-11-25
16,None,Hannover,FRG,1,1352.65148926,1951-11-26,1951-12-02
17,None,Hannover,FRG,1,1355.01403809,1951-12-03,1951-12-09
18,None,Hannover,FRG,1,1336.37634277,1951-12-10,1951-12-16
19,None,Hannover,FRG,1,1348.72851562,1951-12-17,1951-12-23
20,None,Hannover,FRG,1,1347.97387695,1951-12-24,1951-12-25
21,None,Hannover,FRG,1,1348.97387695,1951-12-26,1951-12-30
22,None,Hannover,FRG,1,1343.28442383,1951-12-31,1952-01-06
23,None,Hannover,FRG,1,1351.42102051,1952-01-07,1952-01-13
24,None,Hannover,FRG,1,1347.36804199,1952-01-14,1952-01-20
25,None,Hannover,FRG,1,1352.77844238,1952-01-21,1952-01-27
26,None,Hannover,FRG,1,1360.95581055,1952-01-28,1952-02-03
27,None,Hannover,FRG,1,1353.59924316,1952-02-04,1952-02-10
28,None,Hannover,FRG,1,1357.41796875,1952-02-11,1952-02-17
29,None,Hannover,FRG,1,1369.32653809,1952-02-18,1952-03-02
30,None,Hannover,FRG,1,1361.8963623,1952-03-03,1952-03-09
31,None,Hannover,FRG,1,1355.83361816,1952-03-10,1952-03-16
32,None,Hannover,FRG,1,1361.77404785,1952-03-17,1952-03-30
33,None,Hannover,FRG,1,1368.9473877,1952-03-31,1952-04-06
34,None,Hannover,FRG,1,1376.57971191,1952-04-07,1952-04-21
35,None,Hannover,FRG,1,1378.57971191,1952-04-22,1952-05-07
36,None,Hannover,FRG,1,1382.57971191,1952-05-08,1952-08-24
37,None,Hannover,FRG,1,1370.66845703,1952-08-25,1952-08-31
38,None,Hannover,FRG,1,1367.42834473,1952-09-01,1952-09-07
39,None,Hannover,FRG,1,1363.96936035,1952-09-08,1952-09-14
40,None,Hannover,FRG,1,1367.89001465,1952-09-15,1952-09-21
41,None,Hannover,FRG,1,1375.53735352,1952-09-22,1952-09-28
42,None,Hannover,FRG,1,1372.7052002,1952-09-29,1952-10-06
43,None,Hannover,FRG,1,1353.7052002,1952-10-07,1952-10-12
44,None,Hannover,FRG,1,1359.95251465,1952-10-13,1952-10-19
45,None,Hannover,FRG,1,1357.10827637,1952-10-20,1952-10-26
46,None,Hannover,FRG,1,1334.64807129,1952-10-27,1952-11-02
47,None,Hannover,FRG,1,1328.70544434,1952-11-03,1952-11-09
48,None,Hannover,FRG,1,1327.31335449,1952-11-10,1952-11-10
49,None,Hannover,FRG,1,1333.31335449,1952-11-11,1952-11-30
50,None,Hannover,FRG,1,1328.69152832,1952-12-01,1952-12-07
51,None,Hannover,FRG,1,1336.66625977,1952-12-08,1952-12-14
52,None,Hannover,FRG,1,1344.37451172,1952-12-15,1952-12-25
53,None,Hannover,FRG,1,1352.37451172,1952-12-26,1952-12-29
54,None,Hannover,FRG,1,1373.01843262,1952-12-30,1953-01-04
55,None,Hannover,FRG,1,1380.97900391,1953-01-05,1953-01-11
56,None,Hannover,FRG,1,1383.92248535,1953-01-12,1953-01-18
57,None,Hannover,FRG,1,1388.21057129,1953-01-19,1953-01-25
58,None,Hannover,FRG,1,1383.17602539,1953-01-26,1953-02-08
59,None,Hannover,FRG,1,1380.62463379,1953-02-09,1953-02-22
60,None,Hannover,FRG,1,1383.32714844,1953-02-23,1953-02-25
61,None,Hannover,FRG,1,1392.71704102,1953-02-26,1953-03-01
62,None,Hannover,FRG,1,1382.51477051,1953-03-02,1953-03-08
63,None,Hannover,FRG,1,1375.06469727,1953-03-09,1953-03-15
64,None,Hannover,FRG,1,1380.38415527,1953-03-16,1953-03-22
65,None,Hannover,FRG,1,1391.49255371,1953-03-23,1953-03-23
